"game_id","home_team_name","away_team_name","home_team_spread","home_final","away_final","quarters","total_line","total","result","sgp_hit","sgp_ins"
401468434,"Memphis","New Orleans",2.5,132,111,4,227,243,21,0,0
401468435,"Milwaukee","Cleveland",4,117,102,4,215.5,219,15,0,1
401468436,"Oklahoma City","Chicago",-3,123,119,5,232.5,242,4,0,1
401468437,"San Antonio","Los Angeles",-4,94,105,4,235,199,-11,0,1
401468438,"Phoenix","Detroit",12,108,102,4,224,210,6,0,1
401468439,"Golden State","Utah",8,129,118,4,239.5,247,11,1,0
401468440,"LA","Denver",-4,104,114,4,219,218,-10,1,0
401468441,"Toronto","Dallas",-2.5,105,100,4,215,205,5,0,1
401468442,"Houston","Oklahoma City",-1.5,118,105,4,231.5,223,13,0,1
401468443,"San Antonio","Los Angeles",0,138,143,4,231,281,-5,0,1
401468444,"Phoenix","Utah",6,113,112,4,232,225,1,1,0
401468445,"Brooklyn","Portland",8,111,97,4,224,208,14,0,1
401468446,"Minnesota","Golden State",-1,114,137,4,237,251,-23,0,0
401468447,"LA","Indiana",-2,114,100,4,220.5,214,14,0,1
401468448,"Atlanta","Miami",4,98,106,4,226,204,-8,0,0
401468449,"Boston","Washington",8,130,121,4,220.5,251,9,0,1
401468450,"Detroit","Cleveland",-7.5,94,102,4,218.5,196,-8,0,1
401468451,"New York","Memphis",-1.5,123,127,4,228,250,-4,0,1
401468452,"Orlando","Philadelphia",0,103,133,4,213,236,-30,0,0
401468453,"Milwaukee","Dallas",5.5,124,115,4,215.5,239,9,0,1
401468454,"Philadelphia","Atlanta",3,104,101,4,220.5,205,3,0,1
401468455,"Washington","Minnesota",1,142,127,4,227.5,269,15,0,0
401468456,"Boston","Charlotte",11,140,105,4,225,245,35,0,0
401468457,"Brooklyn","Orlando",12,109,102,4,223.5,211,7,0,1
401468458,"Toronto","Cleveland",5,100,88,4,218.5,188,12,0,1
401468459,"New Orleans","Oklahoma City",5.5,105,103,4,232.5,208,2,0,1
401468460,"Denver","Houston",11,129,113,4,227.5,242,16,0,1
401468461,"Utah","Chicago",2.5,107,114,4,235,221,-7,0,0
401468462,"Sacramento","Phoenix",-1,117,122,4,234.5,239,-5,1,0
401468463,"Los Angeles","Indiana",3.5,115,116,4,237.5,231,-1,1,0
401468464,"Detroit","New York",-4,110,140,4,226.5,250,-30,0,0
401468465,"Dallas","Golden State",1,116,113,4,227,229,3,1,0
